Id_solicitud,mes_solictud,Default_60dias_12meses,tipo_casa,edad,fec_ing_empleo,antg_max_tc,meses_pasivo_12,ingreso,mto_lin_cred_sistemafinanciero,mto_deuda_prom_sistemafinanciero,Departamento,max_clas_riesg,nivel_educ
34,200901,1,PROPIA,32,38534,0,9,4000,1000,19898.83,Santa Cruz,0,TECNICO
35,200901,1,FAMILIAR,33,39597,15,12,2008.5,0,0,La Paz,1,TECNICO
36,200901,1,PROPIA,50,33604,47,0,3000,0,0,Santa Cruz,0,PROFESIONAL
37,200901,1,FAMILIAR,42,35582,0,12,1726.37,0,451.03,Santa Cruz,2,TECNICO
38,200901,1,FAMILIAR,31,38899,15,12,2237.79,7360.33,3685.24,La Paz,0,TECNICO
39,200901,0,FAMILIAR,26,38037,16,12,4380.68,6485,1849.47,Santa Cruz,1,TECNICO
40,200901,1,FAMILIAR,26,38353,0,8,1800,0,7860.95,Cochabamba,0,TECNICO
41,200901,1,FAMILIAR,32,38078,36,12,1200,1909.87,6006.99,Santa Cruz,0,TECNICO
42,200901,0,PROPIA,64,22282,123,0,23300,69814.12,7713.08,Santa Cruz,1,PROFESIONAL
43,200901,0,PROPIA,34,38292,97,12,10000,44500,3236.83,Tarija,0,PROFESIONAL
44,200901,1,FAMILIAR,31,38866,0,12,744.16,2650,1542.89,La Paz,2,TECNICO
45,200901,0,FAMILIAR,32,37682,40,11,2555,13406.8,106.25,Santa Cruz,1,PROFESIONAL
46,200901,0,PROPIA,37,35551,89,12,5444,11956.19,0,Santa Cruz,1,PROFESIONAL
47,200901,1,FAMILIAR,44,38355,9,9,4370,16659.05,52191.48,Santa Cruz,0,PROFESIONAL
48,200901,1,PROPIA,32,35735,12,6,3500,998.53,701.15,Potosi,0,PROFESIONAL
49,200901,1,FAMILIAR,55,26999,0,12,2703.18,0,0,Santa Cruz,1,EDUCACION BASICA
50,200901,1,PROPIA,35,37834,40,12,4571,10506.1,43378.47,La Paz,3,PROFESIONAL
51,200901,1,FAMILIAR,34,38292,0,12,8945,1273.52,0,La Paz,1,PROFESIONAL
52,200901,0,PROPIA,35,35947,0,12,5000,21332.43,0,La Paz,0,PROFESIONAL
53,200901,1,FAMILIAR,23,38869,11,12,2100,500,482.22,Cochabamba,0,PROFESIONAL
54,200901,0,PROPIA,41,33298,44,7,9520,14218.41,0,La Paz,0,PROFESIONAL
55,200901,0,OTRAS,37,36161,0,12,1815.42,1643,421.33,La Paz,1,PROFESIONAL
56,200901,1,PROPIA,38,38473,48,7,6095,50749.67,57094.38,La Paz,1,TECNICO
57,200901,0,FAMILIAR,31,38384,3,12,3495.94,7800,3669.69,Santa Cruz,0,TECNICO
58,200901,1,PROPIA,52,29221,4,10,5500,10000,40133.71,Santa Cruz,1,PROFESIONAL
59,200901,1,FAMILIAR,25,36557,35,8,9200,25584.13,5593.75,La Paz,0,PROFESIONAL
60,200901,0,FAMILIAR,45,38808,22,12,2000,3790,538.33,La Paz,0,PROFESIONAL
61,200901,1,FAMILIAR,28,39083,7,12,2500,5900,11718.32,La Paz,0,PROFESIONAL
62,200901,1,PROPIA,64,37316,0,11,7000,0,0,La Paz,0,PROFESIONAL
63,200901,1,PROPIA,49,38443,0,12,915.83,2360,2814.4,Santa Cruz,1,TECNICO
64,200901,1,FAMILIAR,26,37561,34,12,1200,6526.56,2800,La Paz,1,PROFESIONAL
65,200901,1,FAMILIAR,35,37408,0,12,1600,8374.84,1141.17,Santa Cruz,1,PROFESIONAL
66,200901,0,FAMILIAR,35,38749,41,12,3000,3900.25,0,La Paz,2,PROFESIONAL
67,200901,1,PROPIA,39,38933,0,9,707.62,0,2681.11,Santa Cruz,0,TECNICO
68,200901,1,PROPIA,48,37530,0,2,3500,6960.79,39220.86,La Paz,1,TECNICO
69,200901,1,FAMILIAR,32,39078,12,12,2985.8,7590,6972.69,Santa Cruz,0,TECNICO
70,200901,1,FAMILIAR,37,36951,0,12,1800,0,5493.71,La Paz,0,TECNICO
71,200901,1,FAMILIAR,49,38565,31,12,5601,21938.92,2118.53,La Paz,1,PROFESIONAL
72,200901,0,FAMILIAR,47,36526,20,12,2100,685.9,0,La Paz,1,TECNICO
73,200901,0,FAMILIAR,40,35886,101,12,7500,49159.37,1120.6,La Paz,2,PROFESIONAL
74,200901,1,FAMILIAR,48,38657,86,10,12450,5557.89,4104.49,La Paz,0,PROFESIONAL
75,200901,1,FAMILIAR,30,38818,0,12,3540.79,0,25786.76,La Paz,4,PROFESIONAL
76,200901,0,FAMILIAR,32,38682,9,12,964.17,2258.74,761.47,La Paz,1,TECNICO
77,200901,0,FAMILIAR,42,38838,17,12,1400,1450,6301.63,La Paz,0,PROFESIONAL
78,200901,1,FAMILIAR,36,34700,20,12,4000,7030,3229.24,La Paz,2,PROFESIONAL
79,200901,0,FAMILIAR,49,36526,95,12,27000,23236.86,9546.91,La Paz,0,PROFESIONAL
80,200901,1,PROPIA,35,38961,67,12,18265,8200,3322.52,Santa Cruz,1,PROFESIONAL
81,200901,1,PROPIA,50,39351,13,12,620.13,3703,2297.47,La Paz,0,TECNICO
82,200901,1,PROPIA,32,38862,0,12,2099.28,5612.71,935.89,La Paz,0,TECNICO
83,200901,1,FAMILIAR,38,36647,0,12,2800,0,0,Santa Cruz,0,PROFESIONAL
84,200901,1,PROPIA,34,38570,42,12,3256.32,4760,6720.4,Santa Cruz,2,PROFESIONAL
85,200902,1,FAMILIAR,30,39083,8,0,1900,8264.75,465.78,La Paz,0,PROFESIONAL
86,200902,1,PROPIA,44,34568,0,12,1536.25,1800,639.04,Santa Cruz,0,TECNICO
87,200902,0,FAMILIAR,38,38473,8,12,2639.35,5800,5.59,La Paz,1,PROFESIONAL
88,200902,1,FAMILIAR,33,39203,12,10,738.4,500,3456.96,Santa Cruz,1,TECNICO
89,200902,1,PROPIA,37,39539,8,12,3250,2500,2608.17,La Paz,4,PROFESIONAL
90,200902,1,FAMILIAR,52,37104,13,12,2200,4344.67,819.63,La Paz,1,PROFESIONAL
91,200902,1,PROPIA,34,36892,21,12,6200,2794.99,1098.38,La Paz,2,TECNICO
92,200902,1,FAMILIAR,31,37875,27,12,684.82,0,1909.5,Santa Cruz,0,TECNICO
93,200902,1,OTRAS,46,38103,0,12,2400,0,2215.46,Santa Cruz,0,TECNICO
94,200902,1,PROPIA,41,33848,33,12,2013.57,251.57,0,La Paz,0,PROFESIONAL
95,200902,1,FAMILIAR,34,39052,0,12,1109.08,1250,9939.37,La Paz,0,TECNICO
96,200902,1,FAMILIAR,29,38108,21,12,1400,926.4,388.73,La Paz,1,PROFESIONAL
97,200902,1,FAMILIAR,21,38504,0,6,750,0,1.36,La Paz,0,SUPERIOR
98,200902,0,FAMILIAR,31,38504,8,12,1300,1850,1471.32,La Paz,0,SUPERIOR
99,200902,1,PROPIA,38,38108,0,12,1400,0,1939.22,Potosi,0,TECNICO
100,200902,1,PROPIA,30,37043,93,12,4000,1603.16,2825.42,La Paz,0,PROFESIONAL
101,200902,1,FAMILIAR,35,38838,0,10,7800,0,0,La Paz,0,PROFESIONAL
102,200902,0,FAMILIAR,43,37104,0,12,4010,16121.07,0,La Paz,0,PROFESIONAL
103,200902,1,FAMILIAR,48,38991,98,12,13150,47993.03,6125.32,La Paz,1,PROFESIONAL
104,200902,0,PROPIA,34,37196,78,12,12429,44185.6,0,La Paz,1,PROFESIONAL
105,200902,1,FAMILIAR,50,33298,16,0,1200,4962.41,0,La Paz,1,PROFESIONAL
106,200902,1,PROPIA,38,39084,0,12,981.74,0,479.75,La Paz,0,TECNICO
107,200902,1,FAMILIAR,24,39238,17,1,6500,2090,15.77,Santa Cruz,1,PROFESIONAL
108,200902,0,PROPIA,46,36923,69,12,1946,6668.53,21108.62,La Paz,0,PROFESIONAL
109,200902,1,FAMILIAR,30,37712,43,12,2800,3000,4153.48,La Paz,0,TECNICO
110,200902,1,FAMILIAR,39,37622,13,12,2000,2442.68,0,La Paz,0,PROFESIONAL
111,200902,1,FAMILIAR,21,38353,0,12,1500,0,0,Santa Cruz,0,PROFESIONAL
112,200902,1,FAMILIAR,36,38139,0,12,800,36266.08,0,La Paz,1,PROFESIONAL
113,200902,1,FAMILIAR,33,37043,52,12,2500,3770.74,6647.03,La Paz,1,PROFESIONAL
114,200902,0,FAMILIAR,27,38810,0,12,1032.6,4295.86,127,La Paz,0,TECNICO
115,200902,1,FAMILIAR,36,36831,0,12,2545.53,0,0,Cochabamba,0,EDUCACION BASICA
116,200902,1,FAMILIAR,30,38144,0,12,1500,0,1499.4,Santa Cruz,0,TECNICO
117,200902,0,FAMILIAR,39,37865,101,12,1900,10036.75,1073.02,La Paz,3,PROFESIONAL
118,200902,1,FAMILIAR,48,37408,0,12,6800,27742.7,0,La Paz,1,PROFESIONAL
119,200902,1,PROPIA,28,39083,7,12,700,900,2244.15,La Paz,0,TECNICO
120,200902,0,FAMILIAR,46,38718,10,12,6000,6350,0,Santa Cruz,0,PROFESIONAL
121,200902,1,FAMILIAR,31,38991,10,12,2100,3570,8567.67,La Paz,0,PROFESIONAL
122,200902,0,PROPIA,24,39083,20,12,2100,2080,2426.15,La Paz,2,SUPERIOR
123,200902,1,FAMILIAR,52,31413,0,0,1500,24.8,1349.22,La Paz,0,TECNICO
124,200902,1,FAMILIAR,57,29738,0,12,5000,9760,0,La Paz,1,TECNICO
125,200902,1,FAMILIAR,50,38961,115,12,12000,121543.4,57094.38,La Paz,0,PROFESIONAL
126,200902,0,FAMILIAR,38,38718,9,7,1350,5505.04,389.15,La Paz,0,SUPERIOR
127,200902,0,FAMILIAR,52,27303,39,12,4000,3027.78,0,La Paz,0,TECNICO
128,200902,1,FAMILIAR,26,37622,33,12,3300,14498.53,3714.33,La Paz,0,PROFESIONAL
129,200902,1,FAMILIAR,23,38504,27,12,3500,1917.55,4588.04,La Paz,3,PROFESIONAL
130,200902,1,FAMILIAR,31,36526,0,4,5300,33022.22,57094.38,Santa Cruz,0,PROFESIONAL
131,200902,1,FAMILIAR,29,37469,17,12,636.98,1600,334.37,Santa Cruz,0,TECNICO
132,200902,1,FAMILIAR,52,37347,10,12,4500,0,7203.22,Cochabamba,0,PROFESIONAL
133,200902,0,FAMILIAR,29,38292,14,12,5600,251.77,340.72,Santa Cruz,0,SUPERIOR
134,200902,0,PROPIA,61,31413,80,12,30000,5721.39,1777.08,La Paz,0,PROFESIONAL
135,200902,0,PROPIA,42,34425,108,12,30000,111661,28818.74,Santa Cruz,3,PROFESIONAL
136,200902,1,FAMILIAR,38,38292,49,1,1500,290.02,3827.15,La Paz,1,PROFESIONAL
137,200902,0,FAMILIAR,34,37073,60,12,10500,55365.09,779.09,La Paz,1,PROFESIONAL
138,200902,0,FAMILIAR,36,35551,0,12,2500,0,7574.82,Cochabamba,0,TECNICO
139,200902,1,FAMILIAR,37,35096,0,0,750,2165.09,0,Santa Cruz,0,TECNICO
140,200902,1,PROPIA,60,38443,28,12,30000,0,30979.59,Santa Cruz,0,PROFESIONAL
141,200902,0,FAMILIAR,32,38899,0,12,1874.7,8445,5747.96,Santa Cruz,0,PROFESIONAL
142,200902,0,PROPIA,53,37987,118,7,6370,60730,243.22,La Paz,1,PROFESIONAL
143,200902,1,PROPIA,30,37316,24,12,1381,1182.09,2500,La Paz,0,TECNICO
144,200902,0,PROPIA,31,38596,12,12,5396.35,4812.59,642.29,La Paz,0,PROFESIONAL
145,200902,1,FAMILIAR,41,35947,95,2,3509,42111.72,7649.36,La Paz,0,PROFESIONAL
146,200902,0,FAMILIAR,32,37561,29,12,4000,1565.31,16.38,Santa Cruz,0,PROFESIONAL
147,200902,0,FAMILIAR,39,34029,92,12,6500,9045.68,5428.86,La Paz,0,PROFESIONAL
148,200902,1,PROPIA,44,39508,12,12,9525,12470.45,19459.86,La Paz,1,PROFESIONAL
149,200902,1,FAMILIAR,40,38322,11,12,2000,1882.39,0,La Paz,1,PROFESIONAL
150,200902,1,PROPIA,23,39387,0,12,1201.6,0,6962.45,La Paz,0,TECNICO
151,200902,1,PROPIA,40,38838,0,12,1890.11,0,8390.52,Santa Cruz,0,TECNICO
152,200902,1,FAMILIAR,50,36220,0,12,2100,0,0,Santa Cruz,0,SUPERIOR
153,200902,1,PROPIA,44,37681,0,12,1001.75,0,4907.23,La Paz,0,TECNICO
154,200902,0,FAMILIAR,24,38412,0,12,1084.18,0,4420.64,Santa Cruz,0,TECNICO
155,200902,0,FAMILIAR,49,37622,0,12,2184.26,3250,1172.95,La Paz,0,TECNICO
156,200902,1,FAMILIAR,45,37500,7,12,4000,2116.13,0,La Paz,0,PROFESIONAL
157,200902,0,FAMILIAR,58,38596,118,12,6000,49338.4,0,La Paz,0,PROFESIONAL
158,200902,1,FAMILIAR,42,37865,31,1,1700,12961.56,0,La Paz,0,TECNICO
159,200902,1,FAMILIAR,42,36892,10,12,1150,0,1488.57,La Paz,0,TECNICO
160,200902,0,FAMILIAR,57,36526,90,12,30000,59260.1,23714.45,La Paz,0,SIN EDUCACION
161,200902,1,FAMILIAR,32,36342,0,12,2000,3974.52,1792.02,La Paz,1,TECNICO
162,200902,1,FAMILIAR,30,37591,24,12,800,708.8,0,La Paz,0,TECNICO
163,200902,1,FAMILIAR,32,37712,18,12,3380,7978.44,1214.58,La Paz,1,PROFESIONAL
164,200902,1,FAMILIAR,40,39102,0,11,2743.5,0,1821.21,Santa Cruz,0,EDUCACION BASICA
165,200902,1,FAMILIAR,27,37742,15,12,2545,2685.49,591.14,Santa Cruz,2,PROFESIONAL
166,200902,1,PROPIA,36,37469,11,12,1300,4312.72,1464.58,Santa Cruz,1,TECNICO
167,200902,0,FAMILIAR,36,36892,30,12,2100,0,9594.57,La Paz,1,TECNICO
168,200902,0,FAMILIAR,44,36708,24,12,3050,0,6451.61,Cochabamba,0,PROFESIONAL
169,200902,1,FAMILIAR,25,38869,0,12,946.95,0,2348.36,La Paz,0,PROFESIONAL
170,200902,0,FAMILIAR,27,38504,21,12,2000,2000,7010.49,La Paz,0,PROFESIONAL
171,200902,1,PROPIA,28,38911,12,12,1002.39,500,2196.74,Cochabamba,0,SUPERIOR
172,200902,0,PROPIA,45,36161,79,12,8300,10613.65,0,La Paz,0,PROFESIONAL
173,200902,1,PROPIA,40,38384,20,12,3900,9080.84,5629.67,Santa Cruz,0,PROFESIONAL
174,200902,1,FAMILIAR,40,38899,8,12,1522.24,6539.35,3361.33,Santa Cruz,0,TECNICO
175,200902,1,FAMILIAR,29,37922,0,12,981.26,0,2668.53,Sucre,4,PROFESIONAL
176,200902,1,FAMILIAR,39,39343,94,12,3500,4500,5880.93,La Paz,0,PROFESIONAL
177,200902,1,FAMILIAR,24,39209,0,12,2146.48,300,10681.7,Potosi,0,TECNICO
178,200902,1,FAMILIAR,30,38896,12,12,691.05,1000,529.21,Santa Cruz,0,TECNICO
179,200902,1,PROPIA,41,34243,75,11,1450,28349.23,1530.38,Santa Cruz,1,PROFESIONAL
180,200903,1,FAMILIAR,29,38839,16,0,3500,8995.6,0,La Paz,0,SUPERIOR
181,200903,0,PROPIA,40,32994,0,0,3100,0,0,Cochabamba,4,PROFESIONAL
182,200903,1,FAMILIAR,28,38899,52,7,3590,12723.02,315.29,La Paz,1,PROFESIONAL
183,200903,0,FAMILIAR,32,36678,0,0,4000,10290.7,57094.38,La Paz,1,PROFESIONAL
184,200903,0,FAMILIAR,52,32752,116,12,2500,38980,7375.4,La Paz,1,TECNICO
185,200903,1,PROPIA,32,38353,26,12,7650,25305.44,1560.34,Santa Cruz,0,PROFESIONAL
186,200903,0,PROPIA,44,35735,35,12,30000,12090.83,5317.93,La Paz,0,SUPERIOR
187,200903,0,PROPIA,46,36526,39,12,2100,2136.45,0,La Paz,0,PROFESIONAL
188,200903,1,FAMILIAR,48,38838,21,12,6000,27900,13227.33,Santa Cruz,0,PROFESIONAL
189,200903,1,PROPIA,29,38658,9,12,1229.49,3960,1359.81,La Paz,0,TECNICO
190,200903,1,FAMILIAR,31,38657,0,12,1131.76,400,6420.92,La Paz,4,PROFESIONAL
191,200903,1,PROPIA,27,37165,38,12,5600,24058.91,12280.95,Cochabamba,1,PROFESIONAL
192,200903,0,FAMILIAR,43,37012,101,12,6000,38300,2884.61,La Paz,0,PROFESIONAL
193,200903,1,FAMILIAR,45,37347,12,12,2850,4000,4730.14,Santa Cruz,1,TECNICO
194,200903,1,PROPIA,41,38473,43,6,2300,29250,2660.14,La Paz,0,PROFESIONAL
195,200903,0,FAMILIAR,29,37926,14,1,1500,10485.64,502.97,La Paz,0,PROFESIONAL
196,200903,0,FAMILIAR,24,39173,10,10,827.67,2800,1215.48,Santa Cruz,0,TECNICO
197,200903,1,FAMILIAR,31,36647,1,12,2000,10451.26,5577.19,La Paz,2,PROFESIONAL
198,200903,0,ALQUILADA,33,36557,42,12,4103.59,6871.96,2293.01,Cochabamba,0,PROFESIONAL
199,200903,1,PROPIA,36,38231,14,12,978,1760,5954.25,La Paz,0,TECNICO
200,200903,1,FAMILIAR,32,37377,0,8,4000,9680,5161.85,La Paz,0,PROFESIONAL
201,200903,1,PROPIA,32,37622,40,12,4840,8573.02,3857.12,La Paz,3,PROFESIONAL
202,200903,0,FAMILIAR,26,36678,3,12,1500,2376,1252.5,Santa Cruz,0,TECNICO
203,200903,0,FAMILIAR,63,37377,0,12,1500,18628.1,0,La Paz,1,TECNICO
204,200903,1,PROPIA,31,36770,0,12,2300,1840,3633.54,Santa Cruz,0,TECNICO
205,200903,1,FAMILIAR,32,32874,81,12,15500,50709.01,0,Santa Cruz,0,PROFESIONAL
206,200903,1,FAMILIAR,32,39264,19,12,3508.25,9000,24438.84,Santa Cruz,0,PROFESIONAL
207,200903,1,PROPIA,31,39387,6,12,799.77,500,2198.09,La Paz,0,TECNICO
208,200903,1,PROPIA,50,30103,76,12,9120,21990.37,6484.68,Santa Cruz,4,PROFESIONAL
209,200903,1,FAMILIAR,41,37347,32,12,2000,4033.99,2203.04,La Paz,0,PROFESIONAL
210,200903,1,ALQUILADA,37,37987,25,12,14000,0,12140.75,La Paz,0,PROFESIONAL
211,200903,1,FAMILIAR,50,36526,0,12,2100,4130.68,0,Santa Cruz,1,TECNICO
212,200903,1,FAMILIAR,23,38626,23,12,1200,10673.5,877.39,La Paz,0,PROFESIONAL
213,200903,1,PROPIA,48,33970,80,12,5000,0.09,57094.38,Santa Cruz,0,TECNICO
214,200903,1,PROPIA,28,39203,9,12,1115.09,2310,2192.55,La Paz,0,TECNICO
215,200903,1,FAMILIAR,35,38596,0,12,3500,100,1.18,Santa Cruz,0,TECNICO
216,200903,0,PROPIA,52,27120,63,12,3100,744.01,309.75,Santa Cruz,1,TECNICO
217,200903,0,FAMILIAR,28,39448,3,12,2900,12805,1297.4,La Paz,0,PROFESIONAL
218,200903,1,PROPIA,29,38443,0,12,1800,0,9561.31,Cochabamba,0,TECNICO
219,200903,0,FAMILIAR,28,38991,21,12,3500,6000,311.59,La Paz,0,PROFESIONAL
220,200903,0,PROPIA,42,36342,92,12,12021,12929.51,3942.57,La Paz,2,PROFESIONAL
221,200903,1,FAMILIAR,53,34151,52,12,6400,45690.4,15803.37,Santa Cruz,0,PROFESIONAL
222,200903,1,FAMILIAR,30,36312,49,5,8979,0,14045.3,La Paz,3,EDUCACION BASICA
223,200903,1,FAMILIAR,25,36526,8,9,2100,3229.05,3423.91,Santa Cruz,4,SUPERIOR
224,200903,1,FAMILIAR,31,38719,18,11,1338,3390.53,0,La Paz,0,TECNICO
225,200903,0,FAMILIAR,40,37012,47,12,3680,1210.8,866.89,La Paz,1,TECNICO
226,200903,1,FAMILIAR,36,37012,42,12,1600,9642.7,2135.98,La Paz,1,TECNICO
227,200903,1,PROPIA,42,39356,29,12,858.14,0,1610.16,Santa Cruz,0,TECNICO
228,200903,0,FAMILIAR,21,39356,15,12,850,2600,5189.55,La Paz,2,SUPERIOR
229,200903,0,FAMILIAR,54,31048,107,12,2100,9887.07,12058.06,La Paz,0,PROFESIONAL
230,200903,0,FAMILIAR,28,38615,0,12,1812.8,0,7697.47,Santa Cruz,0,TECNICO
231,200903,1,FAMILIAR,30,39315,0,12,2833.55,8743.5,18447.66,La Paz,2,TECNICO
232,200903,1,FAMILIAR,53,33543,23,12,10000,35095.5,680.74,La Paz,1,PROFESIONAL
233,200903,1,FAMILIAR,36,37347,15,12,750,399.91,0,La Paz,1,TECNICO
234,200903,0,PROPIA,56,36220,0,12,2690,0,0,Santa Cruz,0,TECNICO
235,200903,1,FAMILIAR,57,27426,2,12,9000,0,0,La Paz,0,TECNICO
236,200903,1,FAMILIAR,25,39043,0,9,889.98,0,875.13,Santa Cruz,0,TECNICO
237,200903,0,FAMILIAR,42,36647,75,12,20000,7382.04,623.59,Santa Cruz,2,PROFESIONAL
238,200903,0,FAMILIAR,33,39203,10,12,2800,14304.04,2477.97,La Paz,0,PROFESIONAL
239,200903,1,FAMILIAR,28,39188,12,6,2300,4970.02,1894.01,Cochabamba,0,PROFESIONAL
240,200903,1,ALQUILADA,21,38292,23,12,3250,774.5,21.41,La Paz,0,SUPERIOR
241,200903,1,FAMILIAR,51,37408,0,12,1028.63,0,4849.98,Santa Cruz,0,TECNICO
242,200903,1,FAMILIAR,23,38047,16,12,750,0,2101.72,La Paz,0,TECNICO
243,200903,0,FAMILIAR,49,32874,8,12,4400,207.96,1398.16,La Paz,0,PROFESIONAL
244,200903,1,FAMILIAR,31,37834,4,11,1400,3715.43,5245.43,Santa Cruz,1,PROFESIONAL
245,200903,1,FAMILIAR,26,37622,10,12,2100,5100.91,773.23,La Paz,0,PROFESIONAL
246,200903,1,FAMILIAR,30,36161,40,12,4200,10328.43,1950.74,La Paz,2,PROFESIONAL
247,200903,1,PROPIA,44,38718,50,12,1353.34,19026.36,5236.54,La Paz,0,PROFESIONAL
248,200903,1,FAMILIAR,46,38838,0,12,3500,300,9984.53,Santa Cruz,0,PROFESIONAL
249,200903,1,FAMILIAR,37,36161,44,12,1600,20750,4833.46,Santa Cruz,0,PROFESIONAL
250,200903,1,PROPIA,51,35765,15,12,21600,121543.4,4043.69,La Paz,0,PROFESIONAL
251,200903,1,PROPIA,21,38866,0,12,915.77,0,4522.48,La Paz,0,TECNICO
252,200903,0,PROPIA,35,37196,0,12,5250,3129.53,0,La Paz,0,PROFESIONAL
253,200903,1,FAMILIAR,26,38292,0,12,3350,4032.52,0,La Paz,0,PROFESIONAL
254,200903,0,PROPIA,45,32933,0,12,15000,40263.5,0,La Paz,2,PROFESIONAL
255,200903,0,ALQUILADA,37,38473,38,12,1200,278.75,2160.67,La Paz,0,PROFESIONAL
256,200903,0,PROPIA,30,36617,12,12,15246,20177.78,1311.81,La Paz,0,PROFESIONAL
257,200903,1,PROPIA,36,39083,0,12,3300,0,2293.6,Cochabamba,0,PROFESIONAL
258,200903,1,FAMILIAR,29,39052,0,12,1629.74,0,4429.46,Santa Cruz,0,TECNICO
259,200903,1,FAMILIAR,36,38808,12,11,746.16,2580,2016.02,La Paz,2,TECNICO
260,200903,1,FAMILIAR,32,38954,65,12,3200,6000,10280.87,La Paz,0,PROFESIONAL
261,200903,0,ALQUILADA,49,34243,66,12,6531.87,75643.4,67.12,La Paz,0,TECNICO
262,200903,1,FAMILIAR,32,39391,0,12,1175.66,2457.88,3647.79,La Paz,2,TECNICO
263,200903,1,PROPIA,52,36906,0,12,860.37,500,3919.59,La Paz,1,PROFESIONAL
264,200903,1,FAMILIAR,39,37622,0,12,915.75,0,5829.52,Santa Cruz,0,EDUCACION BASICA
265,200903,0,FAMILIAR,43,38982,69,12,2133.63,5729.66,2434.58,La Paz,0,TECNICO
266,200903,1,FAMILIAR,39,37438,33,12,2100,127.41,172.42,Santa Cruz,0,TECNICO
267,200903,0,FAMILIAR,42,32051,39,0,3300,19.5,53.01,Cochabamba,0,PROFESIONAL
268,200903,1,FAMILIAR,25,39022,0,12,1222.93,0,6437.64,La Paz,0,TECNICO
269,200903,1,FAMILIAR,25,37869,11,12,1108.61,2434,2005.14,La Paz,2,PROFESIONAL
270,200903,1,FAMILIAR,45,30407,0,0,1600,0,1956.02,Santa Cruz,0,TECNICO
271,200903,1,PROPIA,22,37742,0,12,1258.85,0,2856.48,Cochabamba,0,PROFESIONAL
